Occupation,Variable,Chi-squared Statistic,Degrees of Freedom,P-value,Expected Frequencies
Taxi Driver ,ethnicity,7.215686274509804,3,0.06533178546184032,"[[ 8.5  8.5]
 [ 1.5  1.5]
 [16.  16. ]
 [ 1.   1. ]]"
Taxi Driver ,gender,3.5265306122448985,1,0.06039403756314945,"[[ 2.5  2.5]
 [24.5 24.5]]"
Taxi Driver ,quality,3.7768115942028984,4,0.4370528843103636,"[[ 0.5  0.5]
 [ 5.   5. ]
 [ 6.   6. ]
 [11.5 11.5]
 [ 4.   4. ]]"
Housekeeper ,ethnicity,1.0833333333333335,2,0.581777814209808,"[[ 2.  2.]
 [24. 24.]
 [ 1.  1.]]"
Housekeeper ,gender,0.1875,1,0.6650055421020291,"[[24. 24.]
 [ 3.  3.]]"
Housekeeper ,quality,2.3517768780926676,4,0.6713589211432803,"[[1.  1. ]
 [9.5 9.5]
 [6.5 6.5]
 [9.  9. ]
 [1.  1. ]]"
Flight Attendant ,ethnicity,1.101176470588235,2,0.5766105279378235,"[[16.34615385 17.65384615]
 [ 8.17307692  8.82692308]
 [ 0.48076923  0.51923077]]"
Flight Attendant ,gender,1.9259259259259254,2,0.3817600676133757,"[[24.03846154 25.96153846]
 [ 0.48076923  0.51923077]
 [ 0.48076923  0.51923077]]"
Flight Attendant ,quality,3.471690821256038,4,0.48219585252286745,"[[ 0.96153846  1.03846154]
 [ 4.32692308  4.67307692]
 [ 4.80769231  5.19230769]
 [11.05769231 11.94230769]
 [ 3.84615385  4.15384615]]"
Chef ,ethnicity,2.313588362695506,1,0.12824768139040824,"[[24.96226415 24.03773585]
 [ 2.03773585  1.96226415]]"
Chef ,gender,2.065200617283951,2,0.3560798382088796,"[[ 0.50943396  0.49056604]
 [ 2.03773585  1.96226415]
 [24.45283019 23.54716981]]"
Chef ,quality,0.16825998024437278,3,0.9825428480764917,"[[ 1.01886792  0.98113208]
 [ 7.64150943  7.35849057]
 [ 6.62264151  6.37735849]
 [11.71698113 11.28301887]]"
Pilot  ,ethnicity,4.16833028083028,3,0.24385181320447366,"[[ 0.98113208  1.01886792]
 [19.62264151 20.37735849]
 [ 1.96226415  2.03773585]
 [ 3.43396226  3.56603774]]"
Pilot  ,gender,0.0,1,1.0,"[[ 2.94339623  3.05660377]
 [23.05660377 23.94339623]]"
Pilot  ,quality,9.711862211862213,4,0.045571347965383535,"[[ 0.98113208  1.01886792]
 [ 5.39622642  5.60377358]
 [ 5.88679245  6.11320755]
 [10.79245283 11.20754717]
 [ 2.94339623  3.05660377]]"
Nurse  ,ethnicity,11.177777777777777,2,0.0037391802020757424,"[[ 4.  4.]
 [18. 18.]
 [ 5.  5.]]"
Nurse  ,gender,2.3537414965986394,3,0.502303708941968,"[[24.5 24.5]
 [ 1.5  1.5]
 [ 0.5  0.5]
 [ 0.5  0.5]]"
Nurse  ,quality,6.769480519480519,4,0.1485832503385449,"[[ 1.   1. ]
 [10.5 10.5]
 [ 5.5  5.5]
 [ 8.   8. ]
 [ 2.   2. ]]"
Therapist ,ethnicity,8.939534883720931,3,0.030105699524610983,"[[ 2.5  2.5]
 [21.5 21.5]
 [ 2.5  2.5]
 [ 0.5  0.5]]"
Therapist ,gender,10.629959514170041,3,0.01390473202500522,"[[13.  13. ]
 [ 2.   2. ]
 [ 2.5  2.5]
 [ 9.5  9.5]]"
Therapist ,quality,4.044444444444444,4,0.4000243629889799,"[[ 1.5  1.5]
 [ 5.   5. ]
 [ 4.   4. ]
 [12.  12. ]
 [ 4.5  4.5]]"
Cook ,ethnicity,10.594202898550725,3,0.014135293765449607,"[[11.5 11.5]
 [10.  10. ]
 [ 4.   4. ]
 [ 1.5  1.5]]"
Cook ,gender,0.27,1,0.6033317722918664,"[[ 2.  2.]
 [25. 25.]]"
Cook ,quality,2.111111111111111,4,0.7153313616285246,"[[ 0.5  0.5]
 [ 6.   6. ]
 [ 4.5  4.5]
 [13.  13. ]
 [ 3.   3. ]]"
Firefighter ,ethnicity,3.0877192982456143,2,0.21355526035050726,"[[19.  19. ]
 [ 7.5  7.5]
 [ 0.5  0.5]]"
Firefighter ,gender,0.5192307692307692,1,0.4711699984900556,"[[ 1.  1.]
 [26. 26.]]"
Firefighter ,quality,7.6923076923076925,3,0.052817777950926376,"[[13.  13. ]
 [ 6.5  6.5]
 [ 6.5  6.5]
 [ 1.   1. ]]"
Ceo ,ethnicity,6.200000000000001,2,0.04504920239355778,"[[12.5 12.5]
 [12.5 12.5]
 [ 2.   2. ]]"
Ceo ,gender,5.681159420289855,3,0.12819595960027813,"[[ 0.5  0.5]
 [ 2.   2. ]
 [ 1.5  1.5]
 [23.  23. ]]"
Ceo ,quality,8.568498168498168,4,0.07283792152264658,"[[6.  6. ]
 [6.5 6.5]
 [5.  5. ]
 [7.  7. ]
 [2.5 2.5]]"
